Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Mission College	0.5555555555555556	1.0	0.0	0.37570168404170007	0.7351851851851852	0.3594835011434851
Columbia College	0.5555555555555556	0.8	0.14285714285714285	0.36795865633074937	0.6724137931034483	0.3044551367726989
Citrus College	0.5505050505050505	1.0	0.0	0.39089721254355403	0.7987179487179488	0.40782073617439474
San Diego Mesa College	0.5428571428571428	1.0	0.14285714285714285	0.37873357228195936	0.6833333333333333	0.304599761051374
San Jose City College	0.5367063492063493	1.0	0.1935483870967742	0.38922764227642276	0.7205228031145717	0.33129516083814897
Cypress College	0.5274299344066786	1.0	0.24	0.3517786561264822	0.7722469410456063	0.42046828491912414
Merritt College	0.5201288244766505	1.0	0.17857142857142858	0.36997885835095135	0.7323232323232324	0.36234437397228103
San Diego City College	0.5172413793103449	0.8666666666666667	0.14285714285714285	0.367003367003367	0.6347222222222222	0.2677188552188552
Los Angeles Southwest College	0.5166666666666666	1.0	0.0	0.2824730572887124	0.7164818548387097	0.4340087975499973
Cerro Coso Community College	0.5	1.0	0.0	0.37209302325581395	0.7037037037037037	0.33161068044788977
Victor Valley College	0.5	1.0	0.0	0.3678646934460888	0.6851851851851851	0.3173204917390963
Napa Valley College	0.5	1.0	0.08333333333333333	0.27906976744186046	0.6923076923076923	0.41323792486583183
Lake Tahoe Community College	0.49193548387096775	0.7272727272727273	0.14285714285714285	0.3165674603174603	0.5888594164456233	0.27229195612816304
Rio Hondo College	0.4907407407407407	1.0	0.0	0.31042128603104213	0.7818181818181819	0.4713968957871397
Barstow Community College	0.4827586206896552	1.0	0.0	0.3179310344827586	0.6714285714285715	0.3534975369458129
Los Angeles Valley College	0.44763729246487866	0.8333333333333334	0.10344827586206896	0.36363636363636365	0.553030303030303	0.18939393939393934
Los Angeles Trade Technical College	0.4074074074074074	0.7948717948717948	0.0	0.36237373737373735	0.5357142857142857	0.17334054834054835
Compton College	0.3888888888888889	0.8333333333333334	0.0967741935483871	0.27185960591133007	0.5236710963455149	0.2518114904341848
College of the Redwoods	0.3888888888888889	0.5897435897435898	0.0975609756097561	0.3055555555555556	0.5357142857142857	0.23015873015873012
College of Alameda	0.37123169681309215	0.6666666666666666	0.14285714285714285	0.26985837438423643	0.5052339901477833	0.23537561576354682
Coastline Community College	0.36363636363636365	0.5	0.0	0.2311111111111111	0.4106002554278416	0.17948914431673052
Woodland Community College	0.3194444444444444	0.48148148148148145	0.0	0.24451612903225806	0.3793103448275862	0.13479421579532813
Oxnard College	0.3055555555555556	0.48148148148148145	0.0	0.25806451612903225	0.39285714285714285	0.1347926267281106
