University	Community Collge	Precentage of Units Articulated	Unmet Requirements	Met Units	Unmet Units
UCB	Rio Hondo College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Saddleback College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Santiago Canyon College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	West Hills College Coalinga	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Canada College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Chaffey College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Crafton Hills College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Cypress College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Gavilan College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Napa Valley College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
